score;colgpa;act;male
84,43;3,4909;27;1
57,38;2,1;24;1
66,39;3,0851;21;1
81,15;2,6805;31;0
95,9;3,7454;32;1
83,61;3,0555;28;1
76,23;2,1666;18;0
84,43;3,2544;32;1
79,51;3,1298;30;0
46,72;2,2424;17;0
83,61;2,8666;24;0
71,31;2,9363;26;0
79,51;3,6607;23;0
59,02;1,6511;22;0
83,61;3,3898;26;0
54,92;1,8604;17;0
77,87;3,0952;24;0
67,21;2,5078;29;0
74,59;3,6931;24;0
40,98;2,489;19;0
69,67;2,8026;20;0
75,41;2,86;23;1
69,67;1,9693;21;0
67,21;2,6272;28;1
50;1,95;25;1
92,62;3,9892;33;0
72,95;3,268;24;0
86,07;3,0925;23;0
88,52;3,36;27;1
86,89;3,4824;26;1
45,9;2,075;20;0
86,89;3,7651;28;1
89,34;2,8245;24;0
54,1;3,0743;23;0
62,3;2,5281;15;0
60,66;2,1126;15;0
60,66;3,1046;19;0
62,3;2,1323;24;0
73,77;2,7635;25;1
76,23;1,7222;22;1
82,79;2,0283;23;1
77,05;2,4303;18;1
63,11;2,3145;23;0
86,07;3,7867;25;0
85,25;3,0922;23;1
59,84;2,1171;18;1
67,21;2,5727;27;0
28,69;2,5;19;1
77,05;2,5833;26;0
85,25;2,8461;28;1
76,23;3,3709;21;1
97,54;3,4943;31;1
70,49;2,9444;23;0
60,66;2,5326;25;1
41,8;2,3125;19;1
68,85;2,3928;21;1
41,8;2,1811;13;1
62,3;2,2666;28;0
85,25;3,2857;20;1
49,18;2,677;18;0
71,31;2,7234;22;0
90,16;3,4019;20;1
73,77;2,6491;24;0
53,28;2,25;17;0
63,93;2;24;1
92,62;2,051;28;0
78,69;2,6176;18;1
62,3;3,1458;22;0
94,26;3,4285;25;1
71,31;2,862;25;1
88,52;3,0535;25;1
88,52;2,7636;20;1
65,57;1,9732;20;1
54,92;2,4622;20;1
59,02;2,0106;25;1
73,77;2,7169;21;1
66,39;2,8939;27;0
68,85;2,5208;27;0
81,15;2,4038;25;1
79,51;2,3666;20;0
63,93;2,2454;20;0
58,2;2,7796;25;0
66,39;3,009;24;0
63,93;2,525;22;1
80,33;3,4347;22;0
58,2;2,5964;17;1
54,1;2,2325;25;0
86,07;2,2;21;0
60,66;2,2916;21;1
72,95;3,0517;23;0
78,69;2,6785;30;1
84,43;3,0689;25;1
86,89;4;31;0
74,59;3,3076;20;0
68,85;3,2395;20;0
68,85;2,3148;26;1
84,43;2,9215;25;1
44,26;2,3367;20;1
63,11;2,241;23;1
70,49;2,7118;19;0
82,79;2,25;19;1
65,57;2,5118;24;0
63,11;2,4534;25;1
75,41;3,1071;24;0
74,59;3,3437;24;0
67,21;2,65;20;1
65,57;2,5423;25;0
48,36;2,7549;26;0
55,74;2,2586;18;1
54,1;2,3725;23;1
79,51;2,173;25;1
65,57;2,8571;18;0
77,05;2,2058;23;1
61,48;2,4537;25;0
74,59;2,5729;30;1
88,52;2,9827;24;1
68,85;2,836;23;0
62,3;2,7193;21;1
79,51;2,7916;27;1
69,67;2,1304;28;1
67,21;2,88;22;1
64,75;1,9326;29;1
82,79;3,758;23;0
74,59;2,6057;25;1
85,25;3,0192;24;1
64,75;2,2282;18;1
64,75;2,4722;22;0
65,57;1,8039;17;0
73,77;2,8;28;1
86,89;2,4326;24;1
78,69;1,9803;30;1
59,84;3,1964;17;0
86,07;3,1666;25;0
79,51;1,9594;17;1
70,49;2,9426;24;1
94,26;3,5089;24;1
77,87;3,5645;24;0
77,05;3,5178;28;0
77,05;2,6551;21;0
89,34;3,6428;28;0
45,08;2,931;24;0
81,15;2,5517;26;1
79,51;2,3103;21;1
49,18;2,3673;17;0
79,51;3,2954;24;0
71,31;2,0118;22;1
72,13;3,5131;21;0
59,84;2,3979;24;1
54,92;2,4519;18;1
79,51;3,8653;24;0
92,62;3,6666;26;1
42,62;2,3272;17;0
41,8;2,6406;19;0
61,48;2,4824;18;0
81,97;2,9482;26;1
66,39;2,9375;23;1
36,89;1,6296;17;0
88,52;2,75;26;1
37,7;2,0609;17;1
69,67;2,5731;21;1
68,03;1,6458;24;0
66,39;2,5625;19;0
61,48;2,9107;23;0
74,59;1,8953;29;0
59,02;2,4038;28;1
77,05;2,7857;21;0
66,39;2,75;25;0
80,33;2,5254;22;0
71,31;2,413;19;0
68,85;2,075;16;1
22,13;1,7708;17;0
68,03;2,1153;26;1
86,89;3,1071;23;1
78,69;2,8275;26;1
80,33;3,1774;21;0
68,03;2,74;25;1
79,51;3,5;26;0
72,95;2,862;26;1
93,44;3,2903;20;1
72,13;2,75;19;1
46,72;1,9523;17;0
81,15;2,8571;25;1
71,31;3,537;22;0
44,26;2,8214;19;0
84,43;3,3275;21;1
75,41;2,9642;20;1
71,31;3,3035;25;1
53,28;2,1785;21;0
68,03;3,125;21;0
68,85;2,75;17;1
88,52;3,3064;23;0
72,95;2,9642;25;1
77,05;2,6935;19;0
52,46;1,8269;17;1
90,16;3,897;23;0
77,05;3,1296;19;0
70,49;2,1964;25;0
68,85;3,5312;26;0
71,31;2,6785;23;0
58,2;1,1041;23;1
73,77;2,9166;25;0
86,89;3,125;23;1
82,79;2,2;23;1
80,33;3,625;22;1
80,33;3,3833;20;0
63,11;2,25;20;1
79,51;2,8571;21;1
39,34;2,9375;20;0
85,25;3,1296;20;1
60,66;3,4827;23;1
72,95;3,375;23;1
85,25;2,96;24;1
79,51;3,3703;23;0
76,23;3,1551;23;1
81,15;3,1964;27;0
68,85;2,2241;26;1
63,11;2,3214;29;1
75,41;2,6785;22;0
59,84;2,7656;23;1
91,8;2,8666;27;0
59,84;2,7083;22;1
82,79;3,5208;22;1
74,59;2,3043;23;1
60,66;2,7173;24;1
75,41;3,375;20;1
65,57;2,7666;22;1
63,11;2,64;21;1
81,15;3,25;21;0
70,49;2,3035;18;0
88,52;2,7307;25;1
73,77;2,6128;22;0
77,87;2,9354;25;0
61,48;2,2285;24;0
77,87;3,1666;24;1
78,69;2,2727;18;0
72,95;2,4807;20;0
77,05;2,8833;22;1
47,54;2,2799;19;1
60,66;2,4827;23;1
89,34;3,6;24;1
65,57;3,4821;25;0
86,07;3,2758;24;0
82,79;3,6607;19;1
77,87;3,4827;24;1
59,84;2,32;24;0
81,97;3,3392;21;1
60,66;2,6896;22;0
34,43;1,8695;17;0
86,89;3,7857;21;1
80,33;2,8333;20;1
89,34;3,7069;26;0
69,67;2,6128;23;0
89,34;3,8653;22;0
61,48;2,02;20;1
78,69;2,6128;26;0
73,77;2,7777;20;1
34,43;2,1666;18;0
68,03;2,8392;21;1
94,26;3,5161;30;1
82,79;1,9807;25;1
77,87;2,7777;24;1
66,39;2,1818;28;1
68,85;2,4677;24;0
69,67;2,3125;20;0
63,11;1,9137;17;1
93,44;3,9482;26;0
83,61;3,4833;19;1
84,43;3,6333;28;1
86,07;3,7083;26;1
86,89;3,2321;27;0
63,93;2,8928;18;1
50;2,574;20;0
73,77;2,7586;22;0
82,79;3,5;20;1
68,85;2,25;24;1
46,72;1,4666;22;1
77,05;3;23;0
77,05;3;23;1
65,57;2,625;20;1
76,23;2,2222;22;1
75,41;3;26;1
63,93;2,4;19;0
72,13;2,94;33;0
75,41;3,2758;25;0
62,3;2,8518;24;1
77,05;3,4629;26;0
45,08;1,3043;20;1
83,61;3,0862;26;1
77,05;3,2096;23;0
66,39;2,7069;24;0
72,95;3,2222;28;0
80,33;2,625;24;1
94,26;2,0757;25;0
73,77;3,0892;26;1
86,89;3,5666;26;0
72,95;1,8076;21;1
61,48;2,0178;22;0
64,75;2,8214;25;1
58,2;2,5714;24;0
67,21;3,2419;24;0
65,57;2,8518;20;0
72,13;2,8103;20;0
86,07;3,375;24;1
86,07;3,5178;25;1
57,38;2,5;21;0
