approve;black;hispan;obrat;loanprc;unem;male;married;dep;self;sch;chist;pubrec
0;0;0;34,0999984741211;0,800000011920929;3,20000004768372;1;1;1;0;1;1;0
1;0;0;26;0,895104885101318;3,90000009536743;1;0;0;0;1;1;0
1;0;0;37;0,600000023841858;3,09999990463257;1;1;0;1;1;0;1
1;0;0;32,0999984741211;0,89552241563797;4,30000019073486;1;1;0;0;0;1;0
1;0;0;33;0,804347813129425;3,20000004768372;1;0;0;0;0;0;0
1;0;0;36;0,898089170455933;3,20000004768372;1;0;0;0;1;1;0
1;0;0;37;0,797687888145447;3,20000004768372;1;0;0;0;1;1;0
1;0;0;30,7000007629395;1,00300908088684;1,79999995231628;1;1;1;0;1;1;0
1;0;0;49;0,632701396942139;3,09999990463257;1;1;2;1;1;1;0
1;0;0;37;0,504759132862091;5,30000019073486;1;1;0;0;1;1;0
1;0;0;37,0999984741211;0,703703701496124;3,20000004768372;1;1;0;0;0;0;0
0;0;0;42;0,752380967140198;10,6000003814697;1;1;4;0;1;0;1
1;0;0;32;0,769230782985687;3,09999990463257;1;1;0;0;1;1;0
1;0;0;16;0,203045681118965;10,6000003814697;1;1;0;0;0;1;0
1;1;0;37,0999984741211;0,897435903549194;3,20000004768372;1;1;1;1;1;1;0
1;0;0;32,2000007629395;0,800000011920929;3,20000004768372;1;1;2;0;1;1;0
1;0;0;26;0,670588254928589;10,6000003814697;1;1;1;0;1;1;0
1;0;0;27;0,901808798313141;3,90000009536743;1;1;1;0;1;1;0
1;0;0;37,2000007629395;0,943877577781677;3,20000004768372;1;1;0;0;0;1;0
1;0;0;36;0,899999976158142;3,20000004768372;1;1;1;0;1;1;0
1;0;0;16;0,480769217014313;3,20000004768372;0;1;0;1;1;1;0
1;0;0;36;1;3,90000009536743;1;1;2;0;1;1;0
1;0;0;29,2000007629395;0,694444417953491;4,30000019073486;1;1;0;1;0;1;0
1;0;0;18;0,56521737575531;3,09999990463257;1;0;0;0;1;1;0
1;0;0;27,8999996185303;0,947826087474823;3,20000004768372;1;1;2;0;1;1;0
1;1;0;34;0,800000011920929;3,20000004768372;1;1;2;0;1;0;0
0;0;0;38,4000015258789;0,949999988079071;1,79999995231628;1;0;0;0;1;1;0
1;0;0;14;0,29824560880661;3,20000004768372;1;1;2;0;1;1;0
1;0;1;34,7999992370605;0,800000011920929;3,09999990463257;1;1;2;0;1;1;0
1;0;0;28,7000007629395;0,555555582046509;2;1;0;0;0;1;1;0
1;0;0;40,4000015258789;0,79914528131485;3,20000004768372;1;1;0;1;1;1;0
1;0;0;73;1;3,90000009536743;1;0;1;0;0;1;0
1;0;0;27,8999996185303;0,800000011920929;5,30000019073486;1;1;2;0;1;1;0
0;1;0;38,2000007629395;0,949999988079071;3,20000004768372;0;0;0;0;1;0;0
1;1;0;27;0,751552820205688;3,90000009536743;0;0;0;0;1;1;0
1;0;0;33;0,699999988079071;3,90000009536743;0;0;0;0;1;1;0
1;0;0;35;0,800000011920929;3,59999990463257;1;1;1;1;1;1;0
0;0;0;16;0,800000011920929;3,59999990463257;1;1;0;0;0;0;0
1;0;0;30;0,370370358228683;3,20000004768372;1;1;0;0;1;1;0
1;0;0;32,4000015258789;0,887323915958405;3,20000004768372;1;1;1;0;1;1;0
0;1;0;34;0,800000011920929;3,20000004768372;1;1;0;0;0;1;0
1;0;0;26,7000007629395;0,800000011920929;3,20000004768372;1;1;0;0;1;1;0
1;0;0;31;0,800000011920929;10,6000003814697;1;0;0;1;1;1;0
1;1;0;38,2000007629395;0,678260862827301;3,90000009536743;1;0;0;0;0;0;0
1;1;0;35;0,955696225166321;3,20000004768372;1;1;1;0;1;0;0
1;0;0;34;0,766666650772095;10,6000003814697;1;1;0;1;0;1;0
1;0;0;38;1,08571434020996;10,6000003814697;1;1;0;1;0;1;0
1;0;1;38;0,89393937587738;2;0;0;1;0;0;1;0
0;0;0;34;0,890909075737;3,90000009536743;1;1;2;0;0;0;0
1;0;1;25;0,792079210281372;3,20000004768372;1;0;0;0;1;1;0
1;0;0;34;0,902777791023254;3,09999990463257;1;1;0;0;1;1;0
1;0;0;24;0,800000011920929;3,59999990463257;1;1;2;0;1;1;0
1;0;0;35,5;0,507246375083923;3,59999990463257;1;1;0;1;1;1;0
1;0;0;24;0,566666662693024;5,30000019073486;1;1;1;0;1;1;0
1;0;0;23,5;0,678336977958679;3,20000004768372;1;1;2;0;1;1;0
1;0;0;23;0,889175236225128;3,20000004768372;0;1;1;0;1;1;0
1;0;0;28;0,620689630508423;3,20000004768372;1;0;0;1;1;1;0
1;0;0;29;0,69696968793869;4,30000019073486;1;0;0;0;1;1;0
1;0;0;37;0,465853661298752;3,09999990463257;1;1;0;1;1;0;0
0;0;0;42;0,904411792755127;3,90000009536743;1;0;0;0;0;1;1
1;0;0;40;0,884057998657227;2;1;1;0;0;1;1;0
1;0;0;25;0,503703713417053;4,30000019073486;1;0;0;0;1;1;0
1;0;1;22;0,800000011920929;2;1;1;2;0;1;0;1
1;0;0;36;0,870129883289337;10,6000003814697;1;0;0;0;1;1;0
1;0;0;21,8999996185303;0,780141830444336;8,89999961853027;1;1;2;0;0;0;0
1;0;0;29,3999996185303;0,901960790157318;3,20000004768372;0;1;0;0;1;1;0
1;0;1;39,7000007629395;0,840677976608276;3,20000004768372;1;1;2;0;1;1;0
1;0;0;29,7999992370605;0,899999976158142;10,6000003814697;1;1;0;0;0;0;0
1;0;0;35,7000007629395;0,697761178016663;4,30000019073486;1;1;1;0;1;1;0
1;0;0;31,5;0,620689630508423;3,09999990463257;1;0;0;0;0;1;0
1;0;0;45;0,838709652423859;1,79999995231628;1;0;0;0;1;1;0
1;0;0;33;0,0210526324808598;3,90000009536743;1;0;0;0;1;1;0
1;1;0;34;0,885906040668488;3,20000004768372;0;0;1;0;1;1;0
1;1;0;38,9000015258789;0,952941179275513;3,20000004768372;1;1;1;0;1;1;0
0;0;0;47;0,800000011920929;3,09999990463257;1;0;4;0;1;1;1
1;0;0;42;0,898203611373901;3,09999990463257;1;1;0;0;1;1;0
0;0;0;75;1;8,89999961853027;1;0;0;0;0;1;0
1;1;0;25;0,800000011920929;3,20000004768372;0;0;2;0;1;1;0
1;0;0;21;0,30303031206131;3,59999990463257;1;1;0;0;0;1;0
1;0;0;28;0,800000011920929;3,90000009536743;1;0;0;0;1;1;0
1;1;0;34;0,750769257545471;3,20000004768372;1;1;1;0;1;1;0
1;0;0;34;0,901345312595367;3,09999990463257;1;1;1;0;1;1;0
1;0;0;32;0,953125;3,20000004768372;0;1;0;0;1;0;0
1;0;0;36;0,735930740833282;3,09999990463257;1;1;1;0;1;1;0
0;0;0;39;0,798076927661896;1,79999995231628;1;1;2;1;1;1;0
0;0;0;42;0,913580238819122;3,20000004768372;1;0;0;0;1;1;0
0;1;0;39;0,765432119369507;3,20000004768372;0;0;0;0;1;1;0
1;1;0;23,1000003814697;0,870229005813599;3,90000009536743;1;1;0;0;1;1;0
1;0;0;38;0,903448283672333;3,20000004768372;1;0;1;0;1;1;0
0;0;0;50;0,507936537265778;3,20000004768372;1;0;3;0;1;1;1
1;0;1;22;0,853333353996277;3,90000009536743;0;1;2;0;1;1;0
1;0;0;35,2999992370605;0,943925261497498;3,09999990463257;1;0;0;0;1;1;0
1;0;0;36,5;0,800000011920929;3,90000009536743;0;0;0;0;1;1;0
1;0;0;31;0,901162803173065;3,20000004768372;0;0;0;0;1;1;0
1;0;0;29;0,666666686534882;3,09999990463257;1;1;2;0;1;1;0
1;0;0;36;0,839416086673737;5,30000019073486;1;1;0;0;1;1;0
1;1;0;34;0,736842095851898;3,20000004768372;1;1;3;0;1;0;1
1;0;0;35,7000007629395;0,921568632125854;3,09999990463257;1;0;0;0;1;1;0
1;0;0;36,7999992370605;0,897790014743805;2;1;1;0;0;0;1;0
1;0;1;36;0,899999976158142;3,59999990463257;0;1;0;0;1;1;0
1;0;0;35;0,75;1,79999995231628;0;0;0;0;1;1;0
1;0;0;26;0,800000011920929;3,09999990463257;1;0;0;0;1;1;0
1;0;0;29;0,338983058929443;3,59999990463257;1;0;0;0;1;1;0
1;0;0;22,2999992370605;0,658682644367218;2;1;0;0;0;0;1;0
1;0;1;32,2000007629395;0,903030276298523;3,09999990463257;0;0;0;0;1;1;0
1;0;0;37;0,692307710647583;1,79999995231628;1;1;0;0;1;1;0
0;1;0;27;0,800000011920929;3,20000004768372;1;0;0;0;1;1;0
1;0;0;32;0,696296274662018;4,30000019073486;1;0;0;0;1;1;0
0;0;1;19;0,763116061687469;3,09999990463257;1;1;1;0;0;1;0
1;0;0;21,2000007629395;0,533333361148834;10,6000003814697;1;1;2;1;1;1;0
1;0;0;32;0,75;3,20000004768372;1;1;0;0;1;1;0
1;0;0;25;0,280000001192093;3,09999990463257;0;0;4;0;0;1;0
1;0;0;33;0,66785717010498;10,6000003814697;1;0;0;1;0;1;0
1;0;1;34,0999984741211;0,89775562286377;3,90000009536743;1;1;4;1;1;1;0
1;1;0;58;1;3,90000009536743;1;1;1;0;0;1;0
1;0;0;36;0,800000011920929;10,6000003814697;1;1;1;0;1;0;1
1;0;0;22;0,893333315849304;3,20000004768372;1;1;0;0;1;1;0
1;0;0;33;0,474898248910904;3,59999990463257;0;1;2;1;1;1;0
1;0;0;27,6000003814697;1,0119047164917;3,20000004768372;1;1;2;0;1;1;0
1;0;0;36,0999984741211;0,79824560880661;4,30000019073486;1;1;0;0;1;1;0
1;0;0;36;0,64102566242218;3,20000004768372;0;0;0;0;0;1;0
1;0;0;37,0999984741211;0,800000011920929;10,6000003814697;1;1;0;1;0;1;0
1;0;0;30;0,800000011920929;3,20000004768372;0;0;0;0;1;1;0
1;0;0;41;0,800000011920929;3,59999990463257;1;1;1;0;1;1;0
1;0;0;17;0,793650805950165;2;1;0;0;0;0;1;0
1;0;0;21;0,746666669845581;10,6000003814697;1;0;0;0;1;1;0
1;0;0;33,2000007629395;0,900990128517151;3,90000009536743;1;1;2;0;0;0;0
1;0;0;28,7999992370605;0,747826099395752;3,20000004768372;1;1;0;0;0;1;0
