GENDER_R,AGE_R,EARNHR,YRSQUAL,C_D05,C_Q09,D_Q03,D_Q05a2,D_Q09,J_Q02a,J_Q03b,J_Q04a
1,45,5.78,6,1,26,1,2009,2,1,2,1
2,23,10.57,15,1,1,2,2011,2,2,0,1
2,24,11.56,12,1,2,2,2011,2,2,1,1
2,52,13.79,12,1,32,1,1980,1,1,2,1
1,44,,6,2,22,,,,2,0,1
2,36,6.75,6,1,21,1,2011,2,1,1,1
2,28,7.27,12,1,5,1,2006,1,2,0,1
2,64,,6,3,8,,,,1,2,1
1,48,6.86,12,1,20,1,2009,1,1,1,1
1,39,,12,1,18,1,,,1,2,1
1,24,,10,2,3,,,,2,0,2
2,57,,14,3,33,,,,2,2,1
2,53,18.06,15,1,32,1,1979,1,1,2,1
2,32,,6,2,8,,,,2,0,1
2,61,,10,3,5,,,,1,4,1
2,56,26.42,17,1,30,2,1978,1,1,3,1
2,19,4.62,10,1,0,1,2011,2,2,0,2
2,28,5.01,15,1,7,1,2008,1,1,0,2
1,59,,10,1,40,1,,,1,2,1
1,24,4.62,15,1,2,2,2003,2,2,0,1
2,21,,10,3,0,,,,2,0,1
1,50,11.56,15,1,20,2,1987,1,1,2,1
2,44,,12,3,13,,,,1,2,1
2,48,,6,1,10,1,,,1,2,1
1,64,,6,3,36,,,,1,1,1
2,56,,10,3,11,,,,1,2,1
2,39,,14,3,16,,,,1,2,1
2,41,15.21,15,1,15,1,1995,1,1,2,1
1,27,,10,1,4,1,,,1,0,1
2,58,,17,3,17,,,,1,3,1
1,46,,12,3,26,,,,1,1,2
1,40,7.93,10,1,20,2,2010,1,1,2,1
2,31,,14,3,5,,,,1,1,1
1,45,13.29,17,1,22,1,2001,1,2,0,1
2,63,,6,3,12,,,,1,3,1
2,37,,14,2,2,,,,1,2,1
2,44,,14,1,15,1,,,1,3,1
2,46,,17,3,2,,,,1,2,2
2,47,17.34,17,1,23,2,1987,1,1,2,1
2,54,8.75,12,1,37,2,1980,1,1,2,1
1,39,,10,2,22,,,,1,0,1
1,26,5.09,10,1,8,1,2005,1,1,1,1
2,53,,10,3,10,,,,1,1,1
1,24,7.51,17,1,1,1,2011,2,2,0,2
2,25,7.86,15,1,3,3,2008,1,1,0,1
2,20,,15,3,0,,,,2,0,1
2,58,22.53,15,1,34,2,1977,1,1,2,1
1,42,,10,2,25,,,,1,1,1
1,38,13.76,14,1,16,1,1998,1,1,0,1
1,56,20.23,15,1,30,2,1981,1,1,2,1
2,23,,12,3,1,,,,2,0,1
1,38,7.34,15,1,9,3,2002,1,1,2,1
1,50,8.09,14,1,28,2,1988,6,1,2,1
1,44,10.42,6,1,18,1,2011,2,2,0,1
1,45,,10,2,9,,,,1,2,1
1,36,,6,1,18,1,,,1,1,1
2,54,,10,3,16,,,,2,2,1
2,23,,12,3,0,,,,2,0,1
2,51,,10,3,30,,,,2,0,1
2,42,,6,2,10,,,,1,4,1
1,48,,12,1,23,1,,,1,2,1
2,37,,17,3,2,,,,1,2,1
2,30,6.94,12,1,12,1,2011,2,1,0,2
2,65,,6,3,41,,,,1,2,1
2,55,11.83,15,1,41,2,1990,6,1,2,1
2,41,4.62,10,1,20,1,2001,1,1,2,1
2,52,5.78,12,1,20,2,2009,2,1,2,1
2,29,,10,3,8,,,,2,0,1
2,36,,10,3,13,,,,1,2,1
2,55,,6,3,1,,,,1,2,1
2,33,,10,2,6,,,,1,2,1
2,30,8.89,17,1,12,1,2010,2,1,0,1
1,35,8.22,15,1,10,1,2010,1,1,1,1
2,35,,14,3,11,,,,1,1,1
2,41,,14,2,4,,,,1,0,1
1,35,8.73,12,1,12,1,2000,1,1,0,1
1,25,7.5,10,1,7,1,2009,6,1,0,2
2,36,4.62,12,1,16,1,2008,1,1,2,2
1,55,,6,3,20,,,,1,2,1
1,51,17.04,14,1,31,2,1980,1,1,1,1
1,37,5.49,12,1,14,1,2011,2,1,2,2
1,39,5.43,6,1,22,1,2010,2,1,1,1
2,37,16.87,15,1,12,2,2000,2,1,2,1
2,36,,15,3,14,,,,1,2,1
2,32,,12,3,4,,,,1,1,2
1,31,3.85,10,1,6,1,2005,2,1,2,2
2,55,,6,3,25,,,,1,4,1
1,25,5.55,17,1,1,1,2010,2,2,0,1
1,44,6.36,6,1,20,1,2001,1,1,3,2
2,47,,6,1,10,1,,,1,4,2
1,41,8.32,12,1,14,2,2003,1,1,1,1
1,46,,6,1,30,1,,,1,2,1
1,28,,17,2,1,,,,2,0,1
1,52,9.1,12,1,34,2,1976,1,1,2,1
1,39,7.86,10,1,20,2,1981,1,1,2,1
1,44,,12,1,22,1,,,1,2,1
1,46,,6,2,10,,,,2,0,1
2,29,8.66,15,1,6,1,2004,1,1,1,1
1,62,5.09,6,1,50,1,1971,1,1,3,1
2,17,6.67,10,1,1,2,2010,1,2,0,1
2,32,,12,3,30,,,,1,1,1
2,40,4.87,12,1,13,1,2008,6,1,3,1
2,44,,6,3,24,,,,1,0,1
1,41,5.78,10,1,17,1,1995,1,1,0,1
2,60,,15,3,40,,,,1,4,1
2,23,,15,1,1,1,,,2,0,1
2,21,,15,3,4,,,,2,0,1
2,38,,12,3,5,,,,1,1,1
1,37,6.94,12,1,12,1,2002,1,1,1,2
2,58,5.95,15,1,36,2,1973,1,1,2,1
2,61,,10,3,43,,,,1,3,1
2,49,18.64,17,1,30,2,1987,1,1,1,1
1,49,9.25,14,1,26,1,2003,1,1,1,2
1,58,,6,2,50,,,,1,3,1
2,61,,6,3,40,,,,1,2,1
1,44,15.13,17,1,21,1,2003,1,1,2,1
2,49,5.78,6,1,33,1,1996,2,2,0,1
2,44,,12,3,6,,,,1,2,2
2,43,,10,1,20,1,,,1,3,2
1,42,,17,1,19,1,,,1,2,1
2,65,,6,3,40,,,,1,3,1
2,46,4.11,17,1,16,1,2011,5,1,2,2
2,58,,10,3,38,,,,1,3,1
1,51,17.34,17,1,25,2,1986,1,1,2,1
1,30,5.78,12,1,6,2,2005,2,1,1,2
1,56,20.55,10,1,42,1,1969,1,1,3,1
1,37,,12,3,10,,,,1,2,2
2,53,8.67,12,1,33,1,2008,1,1,1,1
2,34,14.29,17,1,5,1,2006,2,1,0,1
2,35,5.2,14,1,18,1,2007,1,1,1,1
2,48,,12,3,7,,,,1,2,1
1,27,,10,2,9,,,,1,2,1
2,51,,6,3,8,,,,1,3,1
1,51,,14,1,32,1,,,1,3,1
1,36,,10,2,14,,,,1,1,1
1,47,,12,1,29,1,,,1,0,1
2,63,,12,3,45,,,,1,2,1
1,49,9.25,6,1,36,1,1990,6,2,0,1
1,43,,12,3,15,,,,1,2,2
2,33,,10,3,14,,,,1,1,1
2,60,,10,3,7,,,,1,1,1
1,32,16.18,17,1,5,1,2011,1,1,0,1
1,34,12.04,17,1,10,1,2006,1,1,0,1
1,19,2.81,6,1,3,1,2010,1,2,0,1
2,56,,6,3,36,,,,2,0,1
1,22,,10,2,4,,,,2,0,1
1,37,,6,3,5,,,,2,0,1
1,61,4.05,10,1,18,1,2003,1,1,2,2
1,30,10.57,15,1,9,2,2008,2,1,0,1
