Tipo de dato;Grupos ECOICOP;Periodo;Total
Índice;Índice general;2002M01;69,530
Índice;Índice general;2002M02;69,590
Índice;Índice general;2002M03;70,165
Índice;Índice general;2002M04;71,118
Índice;Índice general;2002M05;71,374
Índice;Índice general;2002M06;71,377
Índice;Índice general;2002M07;70,882
Índice;Índice general;2002M08;71,085
Índice;Índice general;2002M09;71,351
Índice;Índice general;2002M10;72,058
Índice;Índice general;2002M11;72,169
Índice;Índice general;2002M12;72,409
Índice;Índice general;2003M01;72,111
Índice;Índice general;2003M02;72,264
Índice;Índice general;2003M03;72,765
Índice;Índice general;2003M04;73,357
Índice;Índice general;2003M05;73,289
Índice;Índice general;2003M06;73,338
Índice;Índice general;2003M07;72,878
Índice;Índice general;2003M08;73,213
Índice;Índice general;2003M09;73,431
Índice;Índice general;2003M10;73,926
Índice;Índice general;2003M11;74,167
Índice;Índice general;2003M12;74,294
Índice;Índice general;2004M01;73,773
Índice;Índice general;2004M02;73,807
Índice;Índice general;2004M03;74,322
Índice;Índice general;2004M04;75,340
Índice;Índice general;2004M05;75,784
Índice;Índice general;2004M06;75,904
Índice;Índice general;2004M07;75,328
Índice;Índice general;2004M08;75,661
Índice;Índice general;2004M09;75,796
Índice;Índice general;2004M10;76,575
Índice;Índice general;2004M11;76,767
Índice;Índice general;2004M12;76,692
Índice;Índice general;2005M01;76,046
Índice;Índice general;2005M02;76,243
Índice;Índice general;2005M03;76,846
Índice;Índice general;2005M04;77,953
Índice;Índice general;2005M05;78,102
Índice;Índice general;2005M06;78,284
Índice;Índice general;2005M07;77,805
Índice;Índice general;2005M08;78,147
Índice;Índice general;2005M09;78,627
Índice;Índice general;2005M10;79,266
Índice;Índice general;2005M11;79,386
Índice;Índice general;2005M12;79,557
Índice;Índice general;2006M01;79,234
Índice;Índice general;2006M02;79,272
Índice;Índice general;2006M03;79,833
Índice;Índice general;2006M04;80,959
Índice;Índice general;2006M05;81,251
Índice;Índice general;2006M06;81,374
Índice;Índice general;2006M07;80,890
Índice;Índice general;2006M08;81,055
Índice;Índice general;2006M09;80,922
Índice;Índice general;2006M10;81,254
Índice;Índice general;2006M11;81,455
Índice;Índice general;2006M12;81,678
Índice;Índice general;2007M01;81,129
Índice;Índice general;2007M02;81,184
Índice;Índice general;2007M03;81,800
Índice;Índice general;2007M04;82,930
Índice;Índice general;2007M05;83,158
Índice;Índice general;2007M06;83,311
Índice;Índice general;2007M07;82,704
Índice;Índice general;2007M08;82,818
Índice;Índice general;2007M09;83,090
Índice;Índice general;2007M10;84,167
Índice;Índice general;2007M11;84,770
