year;inv;pop;price
1947;54864;144126;0,819000005722046
1948;64717;146631;0,86489999294281
1949;63150;149188;0,845600008964539
1950;86014;151684;0,876500010490417
1951;70610;154287;0,881900012493134
1952;68574;156954;0,884199976921082
1953;70818;159565;0,886799991130829
1954;78460;162391;0,85970002412796
1955;91204;165275;0,870800018310547
1956;80383;168221;0,88289999961853
1957;74040;171274;0,872200012207031
1958;74822;174141;0,852100014686584
1959;88936;177830;0,864700019359589
1960;83127;180671;0,861999988555908
1961;83207;183691;0,855300009250641
1962;89121;186538;0,859300017356873
1963;96778;189242;0,865599989891052
1964;94306;191889;0,879499971866608
1965;100103;194303;0,877399981021881
1966;92145;196560;0,87830001115799
1967;91336;198712;0,89190000295639
1968;99617;200706;0,903599977493286
1969;102183;202677;0,915199995040894
1970;96855;205052;0,882300019264221
1971;124309;207191;0,879800021648407
1972;147269;209353;0,887399971485138
1973;145286;211536;0,905700027942657
1974;112349;213743;0,923200011253357
1975;95170;215973;0,914699971675873
1976;117727;218280;0,919900000095367
1977;142412;220612;0,960399985313416
1978;151261;222968;1,0061000585556
1979;143049;225350;1,03559994697571
1980;112310;227757;1,04320001602173
1981;102714;230139;1,02820003032684
1982;84676;232520;1
1983;122819;234799;0,98360002040863
1984;145166;237001;0,98360002040863
1985;146311;239279;0,976000010967255
1986;168406;241625;0,976000010967255
1987;167459;243934;0,989199995994568
1988;165459;246329;0,986400008201599
