trimestre;y;u
1980 Q1;124165;9,70639510158138
1980 Q2;124586;10,4252119891634
1980 Q3;124093,3;10,9045195825168
1980 Q4;124812;11,5401448514458
1981 Q1;124108;12,1681699051486
1981 Q2;123971;12,7640965533999
1981 Q3;124522;13,3127791872649
1981 Q4;124398;13,8513274756061
1982 Q1;124908;14,0353294473641
1982 Q2;125382;14,3093470508162
1982 Q3;126225;14,9870147010517
1982 Q4;126671;15,3180755113617
1983 Q1;127135;15,6131925709325
1983 Q2;127920;15,6618034265658
1983 Q3;128108;16,0842057627002
1983 Q4;128935;16,4749000818426
1984 Q1;130004;17,5569936753681
1984 Q2;129602;18,1163534088837
1984 Q3;130731;18,5241443916234
1984 Q4;130898;19,2536248456391
1985 Q1;132357;19,2793997517899
1985 Q2;132234;19,7101254776088
1985 Q3;133604;19,653004921532
1985 Q4;135137;19,5055209826035
1986 Q1;135519;19,3092766650537
1986 Q2;138747;19,0819084300037
1986 Q3;137769;18,8045881383325
1986 Q4;138649,3;18,5280866228501
1987 Q1;141488;18,461774033845
1987 Q2;143605;18,2403167637208
1987 Q3;146571;18,1280464979661
1987 Q4;149569;17,7159027115973
1988 Q1;150050;17,5819565828688
1988 Q2;151886;17,552404743058
1988 Q3;154624;17,2071749341073
1988 Q4;154278;16,3225030872913
1989 Q1;157915;15,9535016175128
1989 Q2;159470;15,3585301210539
1989 Q3;161605;14,8135787833298
1989 Q4;161337;14,7654110246083
1990 Q1;162751;14,3813502588764
1990 Q2;165517;14,1635602955117
1990 Q3;165023;13,8859238134148
1990 Q4;171264;13,8185075695983
1991 Q1;167974;13,6855861779333
1991 Q2;170022;13,7264132944238
1991 Q3;171306;14,2048285111565
1991 Q4;172158;14,4010052976441
1992 Q1;173876,3;14,6723784013358
1992 Q2;171609,3;15,2189817498086
1992 Q3;171718;15,7993404252267
1992 Q4;170599;16,9920639636949
1993 Q1;169006;18,1326317530266
1993 Q2;168995;18,9334566090097
1993 Q3;171028;19,6229033137949
1993 Q4;171672;20,0410310705176
1994 Q1;173093,8;20,492224292858
1994 Q2;173472,8;20,6309256952597
1994 Q3;174850;20,2298048656298
1994 Q4;175504,6;19,9392439589207
1995 Q1;177507,2;19,5138885732205
1995 Q2;178608,2;19,2069963456802
1995 Q3;179329,2;19,2202343978914
1995 Q4;180692;19,0258112771793
1996 Q1;181760;19,0530359520965
1996 Q2;183102;18,8941364338981
1996 Q3;184671,2;18,471338168066
1996 Q4;185656,45;18,0223835685984
