Index;total;weekends;unem;speedlaw;beltlaw;t;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12
1981M01;40511;14;7,9;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1981M02;36034;12;8;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
1981M03;40328;13;7,4;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0
1981M04;37699;12;7,2;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0
1981M05;38816;15;6,1;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0
1981M06;38900;12;6,7;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0
1981M07;38625;13;7,4;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0
1981M08;39539;14;6,9;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0
1981M09;38070;12;7;0;0;9;0;0;0;0;0;0;0;0;1;0;0;0
1981M10;40676;14;7,6;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0
1981M11;39270;13;7,8;0;0;11;0;0;0;0;0;0;0;0;0;0;1;0
1981M12;39734;12;8,6;0;0;12;0;0;0;0;0;0;0;0;0;0;0;1
1982M01;36672;15;9,4;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0
1982M02;32699;12;9,6;0;0;14;0;1;0;0;0;0;0;0;0;0;0;0
1982M03;41283;12;9,7;0;0;15;0;0;1;0;0;0;0;0;0;0;0;0
1982M04;36455;13;9,4;0;0;16;0;0;0;1;0;0;0;0;0;0;0;0
1982M05;36690;14;9;0;0;17;0;0;0;0;1;0;0;0;0;0;0;0
1982M06;35837;12;9,4;0;0;18;0;0;0;0;0;1;0;0;0;0;0;0
1982M07;36850;14;10,7;0;0;19;0;0;0;0;0;0;1;0;0;0;0;0
1982M08;36284;13;10,2;0;0;20;0;0;0;0;0;0;0;1;0;0;0;0
1982M09;36791;12;9,7;0;0;21;0;0;0;0;0;0;0;0;1;0;0;0
1982M10;38366;15;10,3;0;0;22;0;0;0;0;0;0;0;0;0;1;0;0
1982M11;37741;12;11;0;0;23;0;0;0;0;0;0;0;0;0;0;1;0
1982M12;38331;13;11;0;0;24;0;0;0;0;0;0;0;0;0;0;0;1
1983M01;37201;14;11,7;0;0;25;1;0;0;0;0;0;0;0;0;0;0;0
1983M02;35901;12;11,9;0;0;26;0;1;0;0;0;0;0;0;0;0;0;0
1983M03;40354;12;10,9;0;0;27;0;0;1;0;0;0;0;0;0;0;0;0
1983M04;38276;14;9,9;0;0;28;0;0;0;1;0;0;0;0;0;0;0;0
1983M05;36544;13;9,9;0;0;29;0;0;0;0;1;0;0;0;0;0;0;0
1983M06;36127;12;10,1;0;0;30;0;0;0;0;0;1;0;0;0;0;0;0
1983M07;37446;15;9,5;0;0;31;0;0;0;0;0;0;1;0;0;0;0;0
1983M08;38977;14;9,5;0;0;32;0;0;0;0;0;0;0;1;0;0;0;0
1983M09;39443;13;8,3;0;0;33;0;0;0;0;0;0;0;0;1;0;0;0
1983M10;40098;14;8,1;0;0;34;0;0;0;0;0;0;0;0;0;1;0;0
1983M11;41483;12;8,2;0;0;35;0;0;0;0;0;0;0;0;0;0;1;0
1983M12;43493;14;8;0;0;36;0;0;0;0;0;0;0;0;0;0;0;1
1984M01;35242;13;9,2;0;0;37;1;0;0;0;0;0;0;0;0;0;0;0
1984M02;35215;12;8,8;0;0;38;0;1;0;0;0;0;0;0;0;0;0;0
1984M03;39151;14;8,6;0;0;39;0;0;1;0;0;0;0;0;0;0;0;0
1984M04;37808;13;7,7;0;0;40;0;0;0;1;0;0;0;0;0;0;0;0
1984M05;39706;12;7,2;0;0;41;0;0;0;0;1;0;0;0;0;0;0;0
1984M06;38857;14;7,4;0;0;42;0;0;0;0;0;1;0;0;0;0;0;0
1984M07;40083;13;8,4;0;0;43;0;0;0;0;0;0;1;0;0;0;0;0
1984M08;41797;13;7,5;0;0;44;0;0;0;0;0;0;0;1;0;0;0;0
1984M09;42034;14;7,5;0;0;45;0;0;0;0;0;0;0;0;1;0;0;0
1984M10;43836;12;7;0;0;46;0;0;0;0;0;0;0;0;0;1;0;0
1984M11;44638;13;7,1;0;0;47;0;0;0;0;0;0;0;0;0;0;1;0
1984M12;45369;14;6,9;0;0;48;0;0;0;0;0;0;0;0;0;0;0;1
1985M01;38642;12;8;0;0;49;1;0;0;0;0;0;0;0;0;0;0;0
1985M02;38616;12;7,4;0;0;50;0;1;0;0;0;0;0;0;0;0;0;0
1985M03;44493;15;7,3;0;0;51;0;0;1;0;0;0;0;0;0;0;0;0
1985M04;41134;12;7,3;0;0;52;0;0;0;1;0;0;0;0;0;0;0;0
1985M05;42369;13;6,6;0;0;53;0;0;0;0;1;0;0;0;0;0;0;0
1985M06;42430;14;7,6;0;0;54;0;0;0;0;0;1;0;0;0;0;0;0
1985M07;41219;12;7,7;0;0;55;0;0;0;0;0;0;1;0;0;0;0;0
1985M08;43359;14;7,3;0;0;56;0;0;0;0;0;0;0;1;0;0;0;0
1985M09;41422;13;7;0;0;57;0;0;0;0;0;0;0;0;1;0;0;0
1985M10;43961;12;7,2;0;0;58;0;0;0;0;0;0;0;0;0;1;0;0
1985M11;45906;14;6,6;0;0;59;0;0;0;0;0;0;0;0;0;0;1;0
1985M12;44165;13;6,3;0;0;60;0;0;0;0;0;0;0;0;0;0;0;1
