year,month,total,fatal,weekends,unem
1981,1,40511,365,14,7.9
1981,2,36034,329,12,8
1981,3,40328,369,13,7.4
1981,4,37699,369,12,7.2
1981,5,38816,355,15,6.1
1981,6,38900,422,12,6.7
1981,7,38625,470,13,7.4
1981,8,39539,466,14,6.9
1981,9,38070,398,12,7
1981,10,40676,401,14,7.6
1981,11,39270,356,13,7.8
1981,12,39734,358,12,8.6
1982,1,36672,278,15,9.4
1982,2,32699,269,12,9.6
1982,3,41283,347,12,9.7
1982,4,36455,338,13,9.4
1982,5,36690,331,14,9
1982,6,35837,361,12,9.4
1982,7,36850,360,14,10.7
1982,8,36284,371,13,10.2
1982,9,36791,394,12,9.7
1982,10,38366,388,15,10.3
1982,11,37741,325,12,11
1982,12,38331,328,13,11
1983,1,37201,272,14,11.7
1983,2,35901,266,12,11.9
1983,3,40354,308,12,10.9
1983,4,38276,333,14,9.9
1983,5,36544,361,13,9.9
1983,6,36127,335,12,10.1
1983,7,37446,375,15,9.5
1983,8,38977,401,14,9.5
1983,9,39443,397,13,8.3
1983,10,40098,353,14,8.1
1983,11,41483,327,12,8.2
1983,12,43493,348,14,8
1984,1,35242,320,13,9.2
1984,2,35215,310,12,8.8
1984,3,39151,353,14,8.6
1984,4,37808,346,13,7.7
1984,5,39706,375,12,7.2
1984,6,38857,390,14,7.4
1984,7,40083,421,13,8.4
1984,8,41797,407,13,7.5
1984,9,42034,434,14,7.5
1984,10,43836,396,12,7
1984,11,44638,345,13,7.1
1984,12,45369,364,14,6.9
1985,1,38642,318,12,8
1985,2,38616,323,12,7.4
1985,3,44493,364,15,7.3
1985,4,41134,365,12,7.3
1985,5,42369,367,13,6.6
1985,6,42430,402,14,7.6
1985,7,41219,380,12,7.7
1985,8,43359,401,14,7.3
1985,9,41422,344,13,7
1985,10,43961,381,12,7.2
1985,11,45906,335,14,6.6
1985,12,44165,346,13,6.3
1986,1,43522,339,13,6.6
1986,2,42104,302,12,7.7
1986,3,47128,338,14,7.1
1986,4,44892,315,12,6.7
1986,5,46833,388,14,6.1
1986,6,46349,405,13,6.5
1986,7,48098,407,12,7.5
1986,8,49329,467,15,6.7
1986,9,48899,441,12,6.2
1986,10,49025,459,13,6.2
1986,11,46975,396,14,6.5
1986,12,50266,368,12,6.3
1987,1,45158,355,14,6.9
1987,2,44303,326,12,6.7
1987,3,47529,368,13,6.3
1987,4,45364,398,12,5.8
1987,5,47072,421,15,5.6
1987,6,47090,404,12,5.4
1987,7,48880,430,13,6
1987,8,48357,500,14,5.4
1987,9,46768,467,12,5.5
1987,10,52326,432,14,5.6
1987,11,48475,403,13,5.1
1987,12,51924,409,12,4.9
1988,1,43569,333,15,5.6
1988,2,42585,338,12,5.8
1988,3,45944,381,12,5.3
1988,4,47003,394,14,5
1988,5,46066,387,13,5.8
1988,6,45719,352,12,5.4
1988,7,47161,439,15,5.9
1988,8,47558,457,12,5.6
1988,9,47052,442,13,5
1988,10,48297,457,14,4.8
1988,11,49136,414,12,5.1
1988,12,52971,456,14,4.3
1989,1,43142,360,13,5.4
1989,2,42475,345,12,5.5
1989,3,49753,366,13,4.7
1989,4,45161,384,14,5.1
1989,5,46083,405,12,5.2
1989,6,45540,359,13,5.5
1989,7,46325,474,14,5.8
1989,8,46742,458,12,4.7
1989,9,47932,454,14,5
1989,10,48678,422,13,4.6
1989,11,47971,396,12,4.9
1989,12,47251,395,15,4.8
